"","State","Year","Type_code","Type","Gender","Age_group","Total"
"73938","Goa",2012,"Causes","Unemployment","Male","60+",0
"89438","Himachal Pradesh",2003,"Professional_Profile","Retired Person","Male","30-44",0
"18683","Arunachal Pradesh",2010,"Causes","Fall in Social Reputation","Female","45-59",0
"183620","Punjab",2003,"Causes","Ideological Causes/Hero Worshipping","Female","30-44",1
"109645","Karnataka",2003,"Means_adopted","By Drowning","Male","30-44",202
"32749","Bihar",2011,"Causes","Other Prolonged Illness","Male","15-29",0
"179402","Puducherry",2007,"Means_adopted","By Jumping off Moving Vehicles/Trains","Male","45-59",0
"106810","Jharkhand",2010,"Means_adopted","By Fire-Arms","Male","30-44",1
"198625","Sikkim",2005,"Professional_Profile","Others (Please Specify)","Male","0-14",0
"231597","West Bengal",2002,"Means_adopted","By Drowning","Female","0-14",29
"223615","Uttar Pradesh",2012,"Causes","Divorce","Male","45-59",0
"146782","Manipur",2009,"Means_adopted","By Consuming Insecticides","Male","15-29",0
"228842","Uttarakhand",2009,"Means_adopted","By Jumping from (Building)","Female","30-44",0
"128799","Madhya Pradesh",2001,"Means_adopted","By coming under running vehicles/trains","Male","45-59",24
"89989","Himachal Pradesh",2004,"Professional_Profile","Professional Activity","Female","15-29",0
"88576","Himachal Pradesh",2002,"Causes","Other Prolonged Illness","Male","45-59",2
"71976","Goa",2008,"Professional_Profile","Service (Government)","Female","60+",0
"217960","Uttar Pradesh",2002,"Causes","Insanity/Mental Illness","Male","45-59",35
"127258","Lakshadweep",2010,"Professional_Profile","Student","Female","60+",0
"233721","West Bengal",2006,"Causes","Property Dispute","Male","30-44",283
"15074","Arunachal Pradesh",2003,"Professional_Profile","Service (Private)","Male","15-29",0
"16290","Arunachal Pradesh",2006,"Causes","Poverty","Female","0-14",0
"82096","Haryana",2002,"Professional_Profile","Retired Person","Female","30-44",1
"215217","Tripura",2009,"Means_adopted","By Other means (please specify)","Female","0-14",0
"211981","Tripura",2003,"Professional_Profile","Retired Person","Female","0-14",0
"64588","Delhi (Ut)",2007,"Professional_Profile","Farming/Agriculture Activity","Female","30-44",0
"208462","Tamil Nadu",2011,"Causes","Drug Abuse/Addiction","Female","30-44",2
"121208","Kerala",2012,"Causes","Other Causes (Please Specity)","Male","0-14",0
"224195","Uttarakhand",2001,"Causes","Causes Not known","Female","60+",0
"224791","Uttarakhand",2002,"Causes","Fall in Social Reputation","Male","60+",0
"227600","Uttarakhand",2007,"Causes","Illegitimate Pregnancy","Male","60+",0
"170835","Odisha",2004,"Means_adopted","By Hanging","Female","0-14",16
"61737","Delhi (Ut)",2002,"Professional_Profile","Public Sector Undertaking","Female","15-29",0
"93732","Himachal Pradesh",2011,"Education_Status","Post Graduate and Above","Female","0-100+",1
"120764","Kerala",2011,"Causes","Failure in Examination","Female","45-59",0
"33919","Chandigarh",2001,"Causes","Bankruptcy or Sudden change in Economic","Male","30-44",0
"172593","Odisha",2007,"Means_adopted","By Other means (please specify)","Male","30-44",112
"115841","Kerala",2002,"Means_adopted","By Hanging","Male","15-29",669
"175968","Puducherry",2001,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","15-29",0
"157654","Mizoram",2004,"Professional_Profile","Farming/Agriculture Activity","Male","60+",0
"153694","Meghalaya",2009,"Professional_Profile","Unemployed","Male","45-59",0
"208629","Tamil Nadu",2011,"Means_adopted","By Consuming Other Poison","Female","0-14",31
"148247","Manipur",2012,"Causes","Bankruptcy or Sudden change in Economic","Female","30-44",0
"123227","Lakshadweep",2003,"Means_adopted","By Over Alcoholism","Male","45-59",0
"74872","Gujarat",2002,"Causes","Paralysis","Female","15-29",5
"156277","Mizoram",2002,"Means_adopted","By Hanging","Male","0-14",0
"156142","Mizoram",2002,"Causes","Cancer","Female","45-59",0
"132723","Madhya Pradesh",2008,"Means_adopted","By Overdose of sleeping pills","Male","30-44",28
"196325","Sikkim",2001,"Means_adopted","By Fire-Arms","Female","45-59",0
"8514","Andhra Pradesh",2004,"Causes","Cancer","Male","15-29",4
"54151","Daman & Diu",2001,"Causes","Ideological Causes/Hero Worshipping","Male","30-44",0
"143182","Manipur",2003,"Causes","Bankruptcy or Sudden change in Economic","Male","15-29",0
"202480","Sikkim",2012,"Means_adopted","By touching electric wires","Female","30-44",0
"186114","Punjab",2007,"Means_adopted","By Hanging","Female","30-44",14
"46333","Chhattisgarh",2011,"Causes","Bankruptcy or Sudden change in Economic","Female","45-59",1
"212415","Tripura",2004,"Means_adopted","By Over Alcoholism","Male","15-29",0
"144373","Manipur",2005,"Causes","Unemployment","Female","45-59",0
"72345","Goa",2009,"Means_adopted","By Other means (please specify)","Female","30-44",3
"46660","Chhattisgarh",2011,"Professional_Profile","Others (Please Specify)","Male","30-44",276
"97289","Jammu & Kashmir",2005,"Professional_Profile","Unemployed","Male","0-14",0
"101564","Jharkhand",2001,"Causes","Bankruptcy or Sudden change in Economic","Male","45-59",5
"97667","Jammu & Kashmir",2006,"Causes","Suspected/Illicit Relation","Male","60+",0
"171438","Odisha",2005,"Means_adopted","By Over Alcoholism","Female","15-29",0
"39217","Chandigarh",2010,"Means_adopted","By Fire/Self Immolation","Male","45-59",0
"135265","Maharashtra",2001,"Causes","Illness (Aids/STD)","Female","15-29",6
"23788","Assam",2007,"Causes","Poverty","Male","45-59",32
"85457","Haryana",2008,"Professional_Profile","Student","Female","15-29",28
"1289","A & N Islands",2003,"Causes","Drug Abuse/Addiction","Female","45-59",0
"56851","Daman & Diu",2006,"Causes","Professional/Career Problem","Female","15-29",0
"221953","Uttar Pradesh",2009,"Causes","Other Prolonged Illness","Female","60+",27
"5734","A & N Islands",2011,"Causes","Other Prolonged Illness","Male","30-44",3
"44595","Chhattisgarh",2008,"Causes","Cancer","Female","30-44",2
"99033","Jammu & Kashmir",2008,"Professional_Profile","Student","Female","30-44",0
"158364","Mizoram",2006,"Causes","Divorce","Male","30-44",0
"162713","Nagaland",2002,"Causes","Love Affairs","Female","0-14",0
"6092","A & N Islands",2011,"Professional_Profile","Service (Government)","Male","30-44",6
"108336","Karnataka",2001,"Causes","Bankruptcy or Sudden change in Economic","Male","45-59",64
"209726","Total (All India)",2010,"Education_Status","Graduate","Male","0-100+",2273
"175810","Puducherry",2001,"Causes","Fall in Social Reputation","Female","45-59",0
"145773","Manipur",2007,"Professional_Profile","Student","Female","0-14",0
"232898","West Bengal",2004,"Professional_Profile","Others (Please Specify)","Male","15-29",160
"165215","Nagaland",2006,"Education_Status","No Education","Female","0-100+",1
"108997","Karnataka",2002,"Means_adopted","By Fire/Self Immolation","Female","0-14",20
"59450","Daman & Diu",2010,"Means_adopted","By Fire-Arms","Male","60+",0
"3986","A & N Islands",2008,"Causes","Cancellation/Non-Settlement of Marriage","Female","15-29",0
"48949","D & N Haveli",2003,"Professional_Profile","Unemployed","Male","60+",0
"135642","Maharashtra",2001,"Professional_Profile","House Wife","Male","0-14",0
"56180","Daman & Diu",2004,"Professional_Profile","Unemployed","Female","45-59",0
"21486","Assam",2003,"Causes","Cancellation/Non-Settlement of Marriage","Male","30-44",3
"13581","Arunachal Pradesh",2001,"Causes","Ideological Causes/Hero Worshipping","Female","15-29",0
"33582","Bihar",2012,"Means_adopted","By Over Alcoholism","Male","30-44",8
"7542","Andhra Pradesh",2002,"Education_Status","Diploma","Female","0-100+",19
"100334","Jammu & Kashmir",2011,"Causes","Cancellation/Non-Settlement of Marriage","Male","15-29",1
"16672","Arunachal Pradesh",2006,"Means_adopted","By Other means (please specify)","Female","45-59",2
"232176","West Bengal",2003,"Means_adopted","By Overdose of sleeping pills","Male","0-14",0
"43401","Chhattisgarh",2006,"Causes","Death of Dear Person","Female","15-29",3
"59807","Daman & Diu",2011,"Causes","Cancellation/Non-Settlement of Marriage","Female","60+",0
"146377","Manipur",2008,"Professional_Profile","Professional Activity","Female","30-44",0
"13553","Arunachal Pradesh",2001,"Causes","Poverty","Male","0-14",0
"163676","Nagaland",2003,"Means_adopted","By Drowning","Female","60+",0
"3853","A & N Islands",2007,"Professional_Profile","Others (Please Specify)","Male","30-44",2
"136712","Maharashtra",2003,"Means_adopted","By Jumping from (Other sites)","Male","45-59",8
"95639","Jammu & Kashmir",2002,"Professional_Profile","Retired Person","Male","15-29",0
"187391","Punjab",2009,"Professional_Profile","Service (Government)","Female","30-44",0
"15842","Arunachal Pradesh",2005,"Causes","Family Problems","Female","30-44",0
"146033","Manipur",2008,"Causes","Unemployment","Male","30-44",0
"210811","Tripura",2001,"Means_adopted","By Fire/Self Immolation","Male","45-59",0
"58869","Daman & Diu",2009,"Means_adopted","By Overdose of sleeping pills","Male","45-59",0
"127125","Lakshadweep",2010,"Means_adopted","By Fire-Arms","Male","45-59",0
"140657","Maharashtra",2010,"Means_adopted","By Over Alcoholism","Male","45-59",0
"53388","D & N Haveli",2011,"Professional_Profile","Public Sector Undertaking","Female","45-59",0
"184930","Punjab",2005,"Means_adopted","By Drowning","Male","0-14",0
"68461","Goa",2002,"Means_adopted","By Machine","Female","60+",0
"9681","Andhra Pradesh",2006,"Causes","Bankruptcy or Sudden change in Economic","Male","30-44",354
"31835","Bihar",2009,"Means_adopted","By Over Alcoholism","Female","15-29",0
"119699","Kerala",2009,"Causes","Family Problems","Female","60+",345
"51571","D & N Haveli",2008,"Means_adopted","By Consuming Insecticides","Male","30-44",0
"9924","Andhra Pradesh",2006,"Means_adopted","By Machine","Female","45-59",0
"208580","Tamil Nadu",2011,"Causes","Cancellation/Non-Settlement of Marriage","Female","60+",0
"20592","Assam",2001,"Means_adopted","By Other means (please specify)","Female","45-59",11
"195634","Rajasthan",2012,"Causes","Illegitimate Pregnancy","Male","60+",0
"43178","Chhattisgarh",2005,"Means_adopted","By Hanging","Female","60+",23
"170454","Odisha",2003,"Professional_Profile","Student","Female","15-29",86
"80664","Gujarat",2012,"Causes","Paralysis","Male","45-59",11
"212042","Tripura",2003,"Professional_Profile","Retired Person","Male","30-44",0
"236615","West Bengal",2011,"Causes","Ideological Causes/Hero Worshipping","Female","60+",0
"66225","Delhi (Ut)",2010,"Means_adopted","By Fire/Self Immolation","Male","60+",1
"12711","Andhra Pradesh",2011,"Means_adopted","By touching electric wires","Male","15-29",9
"2292","A & N Islands",2005,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","15-29",0
"112486","Karnataka",2008,"Means_adopted","By Overdose of sleeping pills","Female","45-59",1
"230599","Uttarakhand",2012,"Means_adopted","By Machine","Male","60+",0
"82906","Haryana",2004,"Causes","Poverty","Female","45-59",1
"231558","West Bengal",2002,"Causes","Poverty","Male","60+",5
"116198","Kerala",2003,"Causes","Love Affairs","Female","30-44",14
"203562","Tamil Nadu",2002,"Means_adopted","By Fire-Arms","Male","0-14",1
"174318","Odisha",2010,"Means_adopted","By Self Infliction of injury","Male","30-44",24
"15158","Arunachal Pradesh",2003,"Professional_Profile","Farming/Agriculture Activity","Male","60+",2
"220308","Uttar Pradesh",2006,"Means_adopted","By Fire/Self Immolation","Female","0-14",4
"219733","Uttar Pradesh",2005,"Education_Status","Middle","Male","0-100+",312
"9930","Andhra Pradesh",2006,"Means_adopted","By Self Infliction of injury","Female","45-59",1
"209079","Tamil Nadu",2012,"Causes","Death of Dear Person","Female","45-59",6
"164179","Nagaland",2004,"Means_adopted","By touching electric wires","Female","30-44",0
"141039","Maharashtra",2011,"Causes","Death of Dear Person","Male","45-59",12
"155104","Meghalaya",2012,"Causes","Ideological Causes/Hero Worshipping","Male","60+",0
"63981","Delhi (Ut)",2006,"Professional_Profile","Service (Private)","Female","0-14",0
"133262","Madhya Pradesh",2009,"Means_adopted","By Consuming Insecticides","Male","15-29",456
"179281","Puducherry",2007,"Education_Status","No Education","Male","0-100+",1
"185835","Punjab",2007,"Causes","Divorce","Female","15-29",0
"54876","Daman & Diu",2002,"Means_adopted","By Other means","Female","15-29",0
"32297","Bihar",2010,"Causes","Love Affairs","Male","60+",0
"228784","Uttarakhand",2009,"Means_adopted","By Consuming Insecticides","Female","0-14",0
"150862","Meghalaya",2004,"Professional_Profile","Unemployed","Male","30-44",3
"153874","Meghalaya",2010,"Causes","Cancellation/Non-Settlement of Marriage","Male","30-44",0
"52691","D & N Haveli",2010,"Means_adopted","By Drowning","Male","45-59",0
"174458","Odisha",2010,"Professional_Profile","Others (Please Specify)","Male","30-44",244
"42308","Chhattisgarh",2004,"Causes","Poverty","Female","30-44",2
"83403","Haryana",2005,"Causes","Bankruptcy or Sudden change in Economic","Female","30-44",8
"68358","Goa",2002,"Means_adopted","By Over Alcoholism","Male","0-14",0
"71458","Goa",2008,"Causes","Unemployment","Female","0-14",0
"106803","Jharkhand",2010,"Means_adopted","By Machine","Female","30-44",0
"140700","Maharashtra",2010,"Means_adopted","By coming under running vehicles/trains","Female","60+",1
"221643","Uttar Pradesh",2008,"Professional_Profile","Public Sector Undertaking","Female","30-44",4
"139516","Maharashtra",2008,"Means_adopted","By Drowning","Male","30-44",312
"34393","Chandigarh",2002,"Causes","Family Problems","Male","0-14",0
"83687","Haryana",2005,"Means_adopted","By Jumping from (Other sites)","Male","45-59",0
"120656","Kerala",2011,"Causes","Property Dispute","Female","15-29",0
"81373","Haryana",2001,"Means_adopted","By Drowning","Male","15-29",29
"123228","Lakshadweep",2003,"Means_adopted","By Hanging","Male","45-59",0
"1965","A & N Islands",2004,"Means_adopted","By Drowning","Female","0-14",0
"139990","Maharashtra",2009,"Education_Status","Primary","Male","0-100+",2465
"98492","Jammu & Kashmir",2007,"Professional_Profile","Service (Private)","Female","45-59",0
"170587","Odisha",2004,"Causes","Paralysis","Male","0-14",0
"164818","Nagaland",2005,"Means_adopted","By Jumping off Moving Vehicles/Trains","Male","60+",0
"218134","Uttar Pradesh",2002,"Means_adopted","By Consuming Insecticides","Female","45-59",31
"62964","Delhi (Ut)",2004,"Social_Status","Never Married","Male","0-100+",263
"214862","Tripura",2008,"Professional_Profile","Service (Private)","Female","30-44",7
"158356","Mizoram",2006,"Causes","Death of Dear Person","Female","30-44",0
"99775","Jammu & Kashmir",2010,"Causes","Drug Abuse/Addiction","Female","30-44",0
"116637","Kerala",2004,"Causes","Bankruptcy or Sudden change in Economic","Female","0-14",1
"16335","Arunachal Pradesh",2006,"Causes","Paralysis","Male","0-14",0
"237494","West Bengal",2012,"Professional_Profile","Others (Please Specify)","Female","60+",0
"57038","Daman & Diu",2006,"Causes","Failure in Examination","Male","60+",0
"154343","Meghalaya",2011,"Causes","Fall in Social Reputation","Male","0-14",0
"140015","Maharashtra",2009,"Means_adopted","By Jumping off Moving Vehicles/Trains","Male","0-14",0
"199169","Sikkim",2006,"Means_adopted","By coming under running vehicles/trains","Female","60+",0
"154658","Meghalaya",2011,"Means_adopted","By Jumping off Moving Vehicles/Trains","Male","30-44",0
"12854","Andhra Pradesh",2011,"Professional_Profile","Unemployed","Male","15-29",181
"134243","Madhya Pradesh",2011,"Causes","Cancer","Male","45-59",7
"39872","Chandigarh",2011,"Professional_Profile","Retired Person","Female","30-44",0
"3100","A & N Islands",2006,"Means_adopted","By touching electric wires","Male","0-14",0
"189589","Rajasthan",2001,"Means_adopted","By Other means (please specify)","Male","60+",22
"33721","Bihar",2012,"Professional_Profile","Student","Male","30-44",6
"55614","Daman & Diu",2003,"Professional_Profile","Public Sector Undertaking","Male","30-44",0
"178975","Puducherry",2006,"Professional_Profile","House Wife","Male","45-59",0
"215603","Tripura",2010,"Causes","Causes Not known","Male","15-29",41
"220522","Uttar Pradesh",2006,"Professional_Profile","Service (Government)","Male","30-44",34
"45057","Chhattisgarh",2009,"Causes","Failure in Examination","Female","0-14",1
"101074","Jammu & Kashmir",2012,"Means_adopted","By coming under running vehicles/trains","Female","0-14",0
"3613","A & N Islands",2007,"Education_Status","Post Graduate and Above","Male","0-100+",0
"72446","Goa",2009,"Professional_Profile","Retired Person","Male","0-14",0
"217382","Uttar Pradesh",2001,"Causes","Paralysis","Male","45-59",0
"151346","Meghalaya",2005,"Means_adopted","By Overdose of sleeping pills","Male","60+",0
"141367","Maharashtra",2011,"Professional_Profile","Farming/Agriculture Activity","Female","45-59",19
"39169","Chandigarh",2010,"Means_adopted","By Over Alcoholism","Female","30-44",0
"174154","Odisha",2010,"Causes","Insanity/Mental Illness","Male","45-59",18
"233034","West Bengal",2005,"Causes","Professional/Career Problem","Male","0-14",0
"36102","Chandigarh",2005,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","15-29",0
"123822","Lakshadweep",2004,"Means_adopted","By Fire/Self Immolation","Male","60+",0
"118396","Kerala",2007,"Causes","Not having Children(Barrenness/Impotency","Female","15-29",3
"124398","Lakshadweep",2005,"Professional_Profile","Self-employed (Business activity)","Male","0-14",0
"31971","Bihar",2009,"Professional_Profile","Student","Female","0-14",7
"234753","West Bengal",2008,"Causes","Suspected/Illicit Relation","Male","15-29",66
"41691","Chhattisgarh",2003,"Causes","Illegitimate Pregnancy","Female","15-29",5
"104100","Jharkhand",2005,"Professional_Profile","Farming/Agriculture Activity","Male","15-29",38
"195538","Rajasthan",2012,"Causes","Property Dispute","Male","30-44",35
"102888","Jharkhand",2003,"Means_adopted","By Overdose of sleeping pills","Male","45-59",3
"111790","Karnataka",2007,"Causes","Drug Abuse/Addiction","Male","60+",4
"227748","Uttarakhand",2007,"Means_adopted","By Jumping from (Building)","Female","45-59",0
"114887","Karnataka",2012,"Professional_Profile","Self-employed (Business activity)","Female","45-59",7
"225581","Uttarakhand",2003,"Professional_Profile","Student","Female","15-29",9
"200447","Sikkim",2009,"Causes","Insanity/Mental Illness","Female","0-14",0
"81112","Haryana",2001,"Causes","Other Prolonged Illness","Female","15-29",9
"115621","Kerala",2002,"Causes","Fall in Social Reputation","Female","30-44",2
"127378","Lakshadweep",2011,"Causes","Death of Dear Person","Male","15-29",0
"38386","Chandigarh",2009,"Causes","Divorce","Female","30-44",0
"236862","West Bengal",2011,"Professional_Profile","Retired Person","Female","15-29",0
"185376","Punjab",2006,"Causes","Professional/Career Problem","Female","45-59",0
"113262","Karnataka",2010,"Causes","Failure in Examination","Female","0-14",9
"172991","Odisha",2008,"Causes","Fall in Social Reputation","Female","45-59",0
"44149","Chhattisgarh",2007,"Causes","Professional/Career Problem","Male","60+",0
"71445","Goa",2008,"Causes","Not having Children(Barrenness/Impotency","Female","0-14",0
"233288","West Bengal",2005,"Means_adopted","By Fire/Self Immolation","Female","0-14",4
"156349","Mizoram",2002,"Means_adopted","By Jumping from (Other sites)","Male","30-44",0
"1016","A & N Islands",2002,"Professional_Profile","Service (Private)","Male","0-14",0
"29045","Bihar",2004,"Means_adopted","By Jumping from (Other sites)","Female","30-44",0
"208590","Tamil Nadu",2011,"Causes","Love Affairs","Male","60+",0
"116109","Kerala",2003,"Causes","Causes Not known","Male","0-14",17
"92409","Himachal Pradesh",2009,"Causes","Love Affairs","Female","15-29",10
"139124","Maharashtra",2007,"Professional_Profile","Service (Private)","Female","60+",0
"146463","Manipur",2009,"Causes","Illness (Aids/STD)","Female","0-14",0
"16728","Arunachal Pradesh",2006,"Professional_Profile","House Wife","Female","0-14",0
"67627","Goa",2001,"Causes","Ideological Causes/Hero Worshipping","Male","30-44",0
"99842","Jammu & Kashmir",2010,"Causes","Suspected/Illicit Relation","Female","45-59",0
"122351","Lakshadweep",2002,"Causes","Drug Abuse/Addiction","Female","15-29",0
"110893","Karnataka",2005,"Professional_Profile","Student","Male","30-44",13
"19999","Arunachal Pradesh",2012,"Means_adopted","By Hanging","Female","30-44",7
"87669","Haryana",2012,"Means_adopted","By coming under running vehicles/trains","Female","60+",0
"9102","Andhra Pradesh",2005,"Causes","Suspected/Illicit Relation","Female","30-44",23
"101728","Jharkhand",2001,"Means_adopted","By Hanging","Male","30-44",20
"85153","Haryana",2008,"Causes","Love Affairs","Female","45-59",0
"150080","Meghalaya",2003,"Education_Status","Middle","Male","0-100+",10
"204513","Tamil Nadu",2004,"Causes","Insanity/Mental Illness","Female","30-44",44
"223012","Uttar Pradesh",2011,"Causes","Dowry Dispute","Female","45-59",1
"78606","Gujarat",2008,"Means_adopted","By Fire-Arms","Male","45-59",0
"15987","Arunachal Pradesh",2005,"Causes","Property Dispute","Male","60+",0
"161319","Mizoram",2011,"Means_adopted","By Drowning","Female","0-14",0
"20823","Assam",2002,"Causes","Illness (Aids/STD)","Male","0-14",0
"71697","Goa",2008,"Education_Status","Post Graduate and Above","Female","0-100+",0
"86839","Haryana",2011,"Causes","Ideological Causes/Hero Worshipping","Male","30-44",0
"213892","Tripura",2007,"Causes","Illegitimate Pregnancy","Male","15-29",0
"165942","Nagaland",2007,"Means_adopted","By Consuming Other Poison","Male","60+",0
"77669","Gujarat",2007,"Causes","Other Prolonged Illness","Male","0-14",1
"91026","Himachal Pradesh",2006,"Means_adopted","By coming under running vehicles/trains","Female","45-59",0
"152124","Meghalaya",2007,"Causes","Cancellation/Non-Settlement of Marriage","Female","15-29",0
"170839","Odisha",2004,"Means_adopted","By Self Infliction of injury","Female","0-14",1
"166926","Nagaland",2009,"Means_adopted","By Self Infliction of injury","Male","0-14",0
"163377","Nagaland",2003,"Causes","Property Dispute","Female","30-44",0
"133895","Madhya Pradesh",2010,"Means_adopted","By Jumping from (Other sites)","Male","45-59",5
"202435","Sikkim",2012,"Means_adopted","By Drowning","Male","0-14",3
"118653","Kerala",2007,"Means_adopted","By Fire-Arms","Female","15-29",0
"53788","D & N Haveli",2012,"Means_adopted","By Consuming Other Poison","Female","30-44",0
"28181","Bihar",2003,"Causes","Family Problems","Male","15-29",24
"33004","Bihar",2011,"Means_adopted","By Consuming Other Poison","Female","30-44",13
"178297","Puducherry",2005,"Means_adopted","By Over Alcoholism","Male","60+",0
"177321","Puducherry",2003,"Professional_Profile","Professional Activity","Male","60+",1
"178091","Puducherry",2005,"Causes","Professional/Career Problem","Male","45-59",0
"170244","Odisha",2003,"Causes","Not having Children(Barrenness/Impotency","Male","60+",2
"25531","Assam",2010,"Causes","Fall in Social Reputation","Female","60+",0
"176615","Puducherry",2002,"Means_adopted","By Jumping from (Building)","Female","60+",0
"21772","Assam",2003,"Means_adopted","By Overdose of sleeping pills","Male","60+",0
"194796","Rajasthan",2010,"Professional_Profile","Farming/Agriculture Activity","Male","60+",23
"15660","Arunachal Pradesh",2004,"Professional_Profile","House Wife","Female","30-44",10
"64651","Delhi (Ut)",2007,"Professional_Profile","Student","Male","60+",0
"109996","Karnataka",2004,"Causes","Illegitimate Pregnancy","Male","30-44",0
"18227","Arunachal Pradesh",2009,"Education_Status","Diploma","Female","0-100+",0
"218604","Uttar Pradesh",2003,"Means_adopted","By Jumping from (Other sites)","Female","0-14",0
"89872","Himachal Pradesh",2004,"Means_adopted","By Consuming Other Poison","Female","30-44",13
"226847","Uttarakhand",2006,"Causes","Love Affairs","Male","0-14",0
"130856","Madhya Pradesh",2005,"Causes","Professional/Career Problem","Male","45-59",3
"209933","Total (States)",2006,"Education_Status","Graduate","Male","0-100+",1543
"109753","Karnataka",2003,"Professional_Profile","Unemployed","Male","15-29",235
"200426","Sikkim",2008,"Professional_Profile","Student","Male","60+",0
"17763","Arunachal Pradesh",2008,"Means_adopted","By Jumping from (Building)","Male","30-44",0
"188288","Punjab",2011,"Causes","Bankruptcy or Sudden change in Economic","Male","60+",0
"147281","Manipur",2010,"Means_adopted","By Machine","Male","0-14",0
"177462","Puducherry",2004,"Causes","Poverty","Female","30-44",0
"85121","Haryana",2008,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","30-44",3
"163959","Nagaland",2004,"Causes","Illegitimate Pregnancy","Male","30-44",0
"7118","Andhra Pradesh",2001,"Means_adopted","By Other means (please specify)","Female","60+",18
"7146","Andhra Pradesh",2001,"Means_adopted","By Consuming Other Poison","Male","60+",32
"217513","Uttar Pradesh",2001,"Means_adopted","By Over Alcoholism","Female","15-29",1
"48462","D & N Haveli",2003,"Causes","Causes Not known","Male","0-14",0
"91027","Himachal Pradesh",2006,"Means_adopted","By Machine","Female","45-59",0
"73206","Goa",2011,"Causes","Cancer","Male","15-29",0
"181196","Puducherry",2010,"Professional_Profile","Others (Please Specify)","Male","30-44",0
"185399","Punjab",2006,"Causes","Professional/Career Problem","Male","45-59",0
"72533","Goa",2009,"Professional_Profile","Public Sector Undertaking","Female","60+",0
"18054","Arunachal Pradesh",2009,"Causes","Other Prolonged Illness","Male","15-29",1
"157723","Mizoram",2005,"Causes","Other Prolonged Illness","Female","15-29",0
"231603","West Bengal",2002,"Means_adopted","By Consuming Other Poison","Male","0-14",68
"67265","Delhi (Ut)",2012,"Means_adopted","By Drowning","Male","30-44",1
"224661","Uttarakhand",2002,"Causes","Love Affairs","Female","30-44",0
"141013","Maharashtra",2011,"Causes","Drug Abuse/Addiction","Female","45-59",2
"41147","Chhattisgarh",2002,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","15-29",4
"131027","Madhya Pradesh",2005,"Means_adopted","By Over Alcoholism","Male","30-44",23
"62958","Delhi (Ut)",2004,"Social_Status","Divorcee","Male","0-100+",1
"147950","Manipur",2011,"Means_adopted","By Hanging","Female","45-59",1
"188559","Punjab",2011,"Professional_Profile","Others (Please Specify)","Male","45-59",22
"190569","Rajasthan",2003,"Means_adopted","By Jumping from (Other sites)","Female","0-14",0
"210258","Total (Uts)",2007,"Education_Status","Matriculate/Secondary","Female","0-100+",203
"182195","Puducherry",2012,"Means_adopted","By Other means (please specify)","Female","45-59",0
"83777","Haryana",2005,"Professional_Profile","Public Sector Undertaking","Male","15-29",4
"236433","West Bengal",2011,"Causes","Love Affairs","Male","0-14",10
"99652","Jammu & Kashmir",2009,"Professional_Profile","Farming/Agriculture Activity","Male","60+",1
"225290","Uttarakhand",2003,"Causes","Professional/Career Problem","Female","45-59",0
"144046","Manipur",2004,"Means_adopted","By coming under running vehicles/trains","Female","45-59",0
"223336","Uttar Pradesh",2011,"Professional_Profile","Public Sector Undertaking","Male","30-44",2
"171172","Odisha",2005,"Causes","Poverty","Male","0-14",0
"190491","Rajasthan",2003,"Causes","Divorce","Male","45-59",0
"41279","Chhattisgarh",2002,"Causes","Other Causes (Please Specity)","Female","60+",14
"153649","Meghalaya",2009,"Professional_Profile","Professional Activity","Male","15-29",0
"158138","Mizoram",2005,"Professional_Profile","Service (Government)","Male","15-29",1
"144247","Manipur",2005,"Causes","Causes Not known","Male","0-14",0
"190336","Rajasthan",2003,"Causes","Divorce","Male","0-14",0
"7904","Andhra Pradesh",2003,"Causes","Not having Children(Barrenness/Impotency","Female","15-29",15
"70396","Goa",2006,"Causes","Death of Dear Person","Male","15-29",0
"70200","Goa",2005,"Professional_Profile","Retired Person","Male","0-14",0
"225757","Uttarakhand",2004,"Causes","Poverty","Male","15-29",0
"191072","Rajasthan",2004,"Causes","Professional/Career Problem","Female","60+",0
"45610","Chhattisgarh",2010,"Causes","Death of Dear Person","Female","0-14",0
"235634","West Bengal",2009,"Means_adopted","By Self Infliction of injury","Male","30-44",14
"7693","Andhra Pradesh",2002,"Means_adopted","By Jumping from (Other sites)","Female","60+",0
"207727","Tamil Nadu",2009,"Professional_Profile","Public Sector Undertaking","Female","45-59",11
"185658","Punjab",2006,"Professional_Profile","House Wife","Male","0-14",0
"75386","Gujarat",2003,"Causes","Insanity/Mental Illness","Female","0-14",2
"232461","West Bengal",2004,"Causes","Unemployment","Female","0-14",0
"22128","Assam",2004,"Causes","Bankruptcy or Sudden change in Economic","Female","60+",0
"201368","Sikkim",2010,"Means_adopted","By Over Alcoholism","Male","30-44",2
"115756","Kerala",2002,"Causes","Cancellation/Non-Settlement of Marriage","Male","60+",0
"207571","Tamil Nadu",2009,"Means_adopted","By Fire/Self Immolation","Female","30-44",323
"216029","Tripura",2010,"Professional_Profile","Others (Please Specify)","Male","45-59",34
"196108","Sikkim",2001,"Causes","Cancer","Female","45-59",0
